"No","Check Item","Category","Related TC","Result (Pass/Fail/NA)","Notes"
"1","Fan powers on when a speed button is pressed","Power","TC-01","Pass",""
"2","Low speed produces airflow","Speed","TC-01","Pass",""
"3","Medium speed is higher than Low","Speed","TC-02","Pass",""
"4","High speed is the highest of the three","Speed","TC-03","Pass",""
"5","Speed buttons are mutually exclusive (one latches at a time)","Controls","TC-04","Pass",""
"6","Front grille rotates when SWING is pressed","SWING","TC-05","Pass","Confirmed via CW->CCW reversal; not smooth - worn grille lets airflow intermittently overpower the SWING drive; see bug log"
"7","Button 0 releases all latched buttons at once (active speed + SWING); no independent SWING-off","Controls","TC-06","Pass",""
"8","Fan stops fully when OFF is pressed","Power","TC-07","Pass",""
"9","Head tilt holds the set angle without drooping","Mechanical","TC-08","Pass",""
"10","Runs 30 min without overheating or auto-shutoff","Endurance","TC-09","Pass",""
"11","Stable - does not walk or tip at High speed","Stability","TC-10","Pass",""
"12","Grille gap < 12 mm - blades not reachable from outside","Safety","TC-14","Fail","Rear cage has cracks large enough to fit a finger - finger can reach the blade path from the back (safety defect); front grille OK"
"13","Multi-button press does not cause buzzing or breaker trip","Controls","TC-11","Pass","Neither button latched - interlock safely rejects the simultaneous press (fail-safe to OFF); no buzzing or trip"
"14","Front grille opens/removes and re-seats securely via the rotating lock","Maintenance","TC-12","Pass","Lock open/re-attach works; worn-grille free-spin is a separate known defect (TC-05)"
"15","SWING rotation works independently of speed and is cleared only by button 0","SWING","TC-13","Pass","Control independent (rotates at speed 0; cleared only by 0); but at High speed airflow overpowers the worn grille and reverses rotation - see TC-05/bug"
"16","No blade-cage contact when tilted; safe tip behavior","Safety","TC-15","Pass","~45deg tilt: no blade-cage contact, no grinding, no deform; no tilt cut-off (keeps running)"
"17","Rating plate present and legible (brand/model/power/voltage)","Build","-","",""
"18","Power cord and plug intact - no exposed wire","Safety","-","",""
"19","No burning smell during operation","Safety","TC-09","Pass",""
"20","No abnormal noise at any speed","Noise","TC-01..03","Pass",""
